DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMPERATURA,PRESSAO,UMIDADE,IRRADIANCIA,VELOCIDADE,DIRECAO,CHUVA,PVTEMP(K),TENSAO,CORRENTE,PVTEMP(c)
10,2,2020,13,10,40,33.32,1005.43,65.47,944.43417,26.6,135,4.75,285.45,456.0375,2.772,12.3
10,2,2020,13,10,41,33.32,1005.43,65.49,941.6605,26.6,180,4.75,285.81,456.225,2.77369,12.66
10,2,2020,13,10,42,33.32,1005.4,65.49,933.3395,13.3,135,4.75,285.45,456.2625,2.763,12.3
10,2,2020,13,10,43,33.32,1005.43,65.36,931.02811,26.6,90,4.75,286.28,456.1875,2.76525,13.13
10,2,2020,13,10,44,33.32,1005.4,65.24,933.80178,26.6,315,4.75,285.69,456.1125,2.76694,12.54
10,2,2020,13,10,45,33.32,1005.42,65.17,933.80178,13.3,180,4.75,285.45,456.3,2.76919,12.3
10,2,2020,13,10,46,33.32,1005.45,65.05,931.95266,13.3,90,4.75,285.9,456.075,2.77819,12.75
10,2,2020,13,10,47,33.32,1005.41,65.09,938.42456,13.3,180,4.75,285.15,456.1125,2.78212,12
10,2,2020,13,10,48,33.32,1005.42,65.04,941.6605,13.3,225,4.75,284.28,455.9625,2.77537,11.13
10,2,2020,13,10,49,33.32,1005.41,65.19,944.43417,13.3,180,4.75,285.01,456.225,2.77031,11.86
10,2,2020,13,10,50,33.32,1005.43,65.2,942.58506,26.6,180,4.75,285.17,456.4125,2.76075,12.02
10,2,2020,13,10,51,33.32,1005.41,65.11,942.58506,26.6,180,4.75,285.45,456.3375,2.7675,12.3
10,2,2020,13,10,52,33.31,1005.43,65.11,937.96228,13.3,180,4.75,284.96,456.45,2.76244,11.81
10,2,2020,13,10,53,33.31,1005.43,65.04,937.03772,26.6,180,4.75,286.4,456.225,2.76919,13.25
10,2,2020,13,10,54,33.32,1005.43,65.02,940.27367,26.6,180,4.75,286.33,456.525,2.76919,13.18
10,2,2020,13,10,55,33.31,1005.41,65.1,928.25444,26.6,180,4.75,285.15,456.5625,2.76413,12
10,2,2020,13,10,56,33.31,1005.44,65.13,925.48077,26.6,180,5,285.17,456.525,2.75625,12.02
10,2,2020,13,10,57,33.31,1005.46,65.18,922.24482,26.6,180,5,284.98,456.6,2.75681,11.83
10,2,2020,13,10,58,33.31,1005.41,65.32,927.79216,19.95,180,5,285.24,456.4875,2.76019,12.09
10,2,2020,13,10,59,33.31,1005.45,65.31,923.16938,13.3,180,5,285.1,456.45,2.76975,11.95
10,2,2020,13,11,0,33.3,1005.46,65.28,925.48077,13.3,180,5,285.08,456.4125,2.77594,11.93
10,2,2020,13,11,1,33.3,1005.4,65.19,936.57544,13.3,180,5,285.26,456.4125,2.77931,12.11
10,2,2020,13,11,2,33.3,1005.44,65.21,941.19822,6.65,180,5,286.21,456.4875,2.77481,13.06
